date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:20:54	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Feb%202023%2012:31:56%20GMT	https://oneauto-salvage.com/robots.txt		(from )
01:20:55	51489/51489	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Sep%202025%2019:50:54%20GMT	https://oneauto-salvage.com/	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/index.html	(from )
01:20:55	331/331	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jan%202025%2019:07:26%20GMT	https://oneauto-salvage.com/favicon.png	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/favicon.png	(from https://oneauto-salvage.com/)
01:20:56	193534/193534	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Jan%202025%2019:37:36%20GMT	https://oneauto-salvage.com/assets/view/css/bootstrap.min.css	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/assets/view/css/bootstrap.min.css	(from https://oneauto-salvage.com/)
01:20:56	71756/71756	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Jan%202025%2019:41:02%20GMT	https://oneauto-salvage.com/assets/view/css/animate.min.css	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/assets/view/css/animate.min.css	(from https://oneauto-salvage.com/)
01:20:56	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://oneauto-salvage.com/)
01:20:57	8069/8069	---M-Z	200	added ('OK')	text/css	etag:W/%221f85-jqRIojRLzDZKkujJKC/BWFh0US4%22	https://cdn.jsdelivr.net/npm/daterangepicker/daterangepicker.css	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/cdn.jsdelivr.net/npm/daterangepicker/daterangepicker.css	(from https://oneauto-salvage.com/)
01:20:58	74758/74758	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202025%2017:52:45%20GMT	https://oneauto-salvage.com/assets/view/css/style.css?v=8	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/assets/view/css/style8e0e.css	(from https://oneauto-salvage.com/)
01:20:58	36962/36962	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Jan%202025%2019:19:18%20GMT	https://oneauto-salvage.com/assets/view/css/responsive.css	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/assets/view/css/responsive.css	(from https://oneauto-salvage.com/)
01:20:58	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/code.jquery.com/jquery-3.6.0.min.js	(from https://oneauto-salvage.com/)
01:21:00	6603/6603	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Sep%202025%2019:51:00%20GMT	https://oneauto-salvage.com/images/logo-light.png	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/images/logo-light.9.delayed	(from https://oneauto-salvage.com/)
01:21:00	617420/617420	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Jan%202025%2017:33:34%20GMT	https://oneauto-salvage.com/assets/view/images/choose-us-new.png	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/assets/view/images/choose-us-new.png	(from https://oneauto-salvage.com/)
01:21:00	3995/3995	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jan%202025%2017:47:30%20GMT	https://oneauto-salvage.com/assets/view/images/bar-icon.svg	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/assets/view/images/bar-icon.svg	(from https://oneauto-salvage.com/)
01:21:01	9204/9204	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Jan%202025%2018:05:36%20GMT	https://oneauto-salvage.com/assets/view/images/close.svg	C:/Users/moham/OneDrive/Desktop/OneAuto-Salvage/One%20Auto%20Salvage/oneauto-salvage.com/assets/view/images/close.svg	(from https://oneauto-salvage.com/)
